Row,SectorANZSIC,Sector,SectorGroup,Fuel,FuelGroup,Technology,TechnologyGroup,EndUse,EndUseGroup,Transport,Period,PeriodEndDate,TJ
617,C15,"Pulp, Paper and Converted Paper Product Manufacturing",Industrial,Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2021,31/12/2021,6.085595
618,C21,Primary Metal and Metal Product Manufacturing,Industrial,Electricity,Electricity,Electric Furnace,Heat/Cooling Devices,Iron and Steel Manufacturing,Iron and Steel,Non-Transport,2021,31/12/2021,2003.506263
619,C21,Primary Metal and Metal Product Manufacturing,Industrial,Electricity,Electricity,Electric Motor,Stationary Motors,Iron and Steel Manufacturing,Iron and Steel,Non-Transport,2021,31/12/2021,879.401068
620,C21,Primary Metal and Metal Product Manufacturing,Industrial,Electricity,Electricity,Refrigeration Systems,Heat/Cooling Devices,Refrigeration,Heating/Cooling,Non-Transport,2021,31/12/2021,265.466344
621,C21,Primary Metal and Metal Product Manufacturing,Industrial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2021,31/12/2021,92.824844
622,C21,Primary Metal and Metal Product Manufacturing,Industrial,Electricity,Electricity,Electric Furnace,Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2021,31/12/2021,17917.3522
623,C21,Primary Metal and Metal Product Manufacturing,Industrial,Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2021,31/12/2021,1134.938448
624,C21,Primary Metal and Metal Product Manufacturing,Industrial,Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2021,31/12/2021,226.574054
625,C21,Primary Metal and Metal Product Manufacturing,Industrial,Electricity,Electricity,Resistance Heater,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Process Requirements",Heating/Cooling,Non-Transport,2021,31/12/2021,10.775651
626,D,"Electricity, Gas, Water and Waste Services",Industrial,Electricity,Electricity,"Pump Systems (for Fluids, etc.)",Stationary Motors,Pumping,Stationary Motive Power,Non-Transport,2021,31/12/2021,2221.819503
